100 4238
7 4 771
82 47 192
46 59 408
63 72 195
31 29 769
73 2 454
89 24 85
73 23 283
67 92 88
59 16 676
2 10 36
72 82 167
58 57 204
54 97 720
24 59 358
8 58 333
98 65 728
52 59 200
60 67 612
20 19 831
75 63 210
32 21 570
28 10 697
74 1 54
58 90 429
23 64 573
83 40 452
28 65 290
79 5 769
88 16 891
95 59 986
79 7 247
64 7 605
84 94 392
62 29 386
88 8 210
80 34 764
98 59 920
44 24 675
93 24 455
56 15 31
35 43 655
50 61 563
93 85 628
16 95 422
5 81 579
37 45 51
56 53 645
55 73 716
81 2 774
54 18 969
39 67 724
90 57 73
25 5 636
99 76 554
53 44 691
47 69 604
9 55 428
81 58 780
32 86 502
67 75 859
87 43 296
16 1 658
61 21 548
15 5 655
10 40 960
27 10 687
52 14 588
13 38 793
74 77 123
31 85 723
6 41 162
32 48 616
36 21 298
14 56 398
7 33 334
48 28 306
2 66 27
32 53 674
24 41 209
73 89 622
62 20 259
55 89 719
61 53 645
58 73 556
30 32 448
22 51 298
95 91 204
60 90 559
14 55 576
46 34 938
81 45 391
28 85 107
68 62 297
27 32 722
96 10 836
68 56 349
65 46 462
29 22 237
41 30 98
80 75 425
78 11 791
82 5 878
82 92 693
92 10 520
3 94 504
31 99 280
100 53 966
79 2 688
11 36 836
73 26 139
94 9 351
56 96 264
52 87 237
89 15 909
5 26 631
100 93 396
88 93 502
81 39 548
30 45 890
55 64 970
42 4 234
99 53 428
27 26 642
18 26 448
91 31 254
100 21 680
68 94 549
4 40 389
99 56 358
67 53 81
42 33 552
97 69 14
95 78 138
100 34 528
5 44 90
89 6 790
36 20 824
10 94 528
52 67 583
46 85 499
15 96 647
5 23 447
17 60 296
78 55 56
75 8 151
44 99 197
29 3 548
29 44 521
27 23 184
46 22 147
71 72 31
48 40 679
11 20 719
85 37 303
12 22 782
79 34 418
44 73 221
98 93 37
91 44 900
25 97 968
93 53 224
99 21 12
97 4 126
94 62 782
44 54 927
1 21 313
60 58 192
70 84 954
41 7 321
9 6 580
56 89 989
15 58 350
17 22 804
55 98 399
38 4 595
4 18 645
1 69 726
33 12 843
80 84 79
69 41 74
12 38 549
86 39 28
27 64 103
22 100 273
25 58 252
30 52 382
36 81 264
64 12 841
82 77 825
2 30 85
87 14 85
14 28 176
14 50 693
77 42 6
35 55 165
47 91 460
6 24 76
3 1 496
91 69 931
21 88 801
11 81 318
85 43 952
45 29 579
68 15 219
89 45 332
39 28 40
30 16 647
19 7 787
37 80 284
87 54 930
70 4 546
47 65 966
58 70 678
28 27 797
57 48 597
72 36 528
26 74 448
32 60 748
96 13 767
76 16 73
18 11 467
47 79 534
64 44 110
46 37 934
31 19 217
71 27 861
6 35 777
94 21 3
26 37 654
8 52 26
4 28 207
70 33 12
79 25 808
22 57 627
49 87 773
67 27 433
99 35 270
82 51 22
43 9 369
63 9 557
15 57 955
28 53 568
50 5 552
25 98 37
65 77 463
92 98 851
9 47 551
86 54 42
52 94 621
37 18 174
54 68 845
56 55 625
8 97 88
38 94 510
45 76 703
72 89 125
30 64 714
25 38 464
20 32 911
80 3 1
8 90 931
94 59 977
64 79 817
5 59 245
48 66 739
24 19 419
2 22 552
33 45 57
70 41 452
91 81 551
80 32 13
72 30 675
19 95 732
3 22 431
22 4 153
55 51 88
42 80 424
88 25 507
17 86 79
84 7 50
38 87 982
59 91 265
33 87 619
6 45 140
100 79 425
85 84 578
35 18 747
94 66 34
11 70 218
65 7 22
28 45 884
19 73 861
62 72 431
22 38 415
17 89 374
5 34 508
14 91 377
93 82 891
56 44 978
2 89 143
57 21 914
10 22 331
55 37 291
94 73 475
25 47 293
67 96 16
92 24 508
3 84 943
20 24 376
54 4 192
16 12 233
87 57 936
68 4 296
11 14 72
92 93 398
3 73 852
23 32 918
16 55 388
9 80 526
77 64 921
56 25 427
58 11 987
62 57 813
17 7 812
32 19 982
43 2 695
20 96 756
12 31 364
26 82 755
47 31 999
12 75 397
11 47 879
82 53 829
52 85 93
54 51 43
57 60 903
45 36 839
51 4 475
2 14 188
77 93 835
37 20 526
11 79 972
9 82 231
39 7 714
92 72 442
22 70 241
23 80 966
65 45 290
100 95 789
85 76 445
21 53 673
60 89 574
12 91 767
78 45 692
99 65 849
5 51 542
87 9 499
14 49 582
39 69 610
73 42 677
78 8 114
99 54 647
44 20 180
25 41 850
11 8 403
100 11 289
51 67 570
41 95 909
32 39 85
63 88 806
21 12 677
20 80 70
12 43 997
51 17 204
1 33 257
12 55 854
15 12 789
89 74 653
51 61 888
77 98 268
90 91 83
17 33 792
29 99 46
23 59 403
23 78 273
8 10 56
90 7 197
9 28 534
1 6 915
56 98 58
97 94 546
83 6 190
21 87 713
21 56 290
68 73 725
3 88 63
11 34 314
55 72 507
3 59 598
94 96 567
62 91 977
12 23 267
26 96 116
13 99 299
63 6 550
76 13 555
59 83 207
86 78 904
51 25 67
4 19 539
90 56 867
50 74 376
43 70 9
62 82 422
98 58 422
37 19 969
28 40 128
44 12 333
4 81 25
64 14 246
11 39 8
13 3 408
90 53 771
16 34 492
12 28 19
28 76 583
53 97 262
84 97 48
37 64 190
47 100 97
47 87 975
94 1 947
64 42 498
43 21 652
87 72 909
90 87 466
93 47 979
98 100 336
47 55 801
18 89 195
53 41 594
12 61 485
48 94 203
63 91 688
84 42 115
86 69 998
89 62 286
87 93 110
41 78 673
10 95 712
9 72 160
40 54 113
97 61 273
37 51 16
54 35 534
86 65 481
44 22 137
16 33 203
13 53 744
31 6 216
97 6 590
13 87 285
62 39 735
67 30 375
69 36 358
39 96 561
23 41 562
7 5 535
89 38 325
88 33 99
50 43 340
94 56 844
74 47 428
7 55 116
70 65 328
66 38 856
12 93 894
96 28 615
60 28 132
37 74 274
9 57 268
25 18 15
98 17 491
62 21 285
26 39 899
42 99 41
87 46 507
75 81 105
97 62 274
66 50 58
9 44 964
66 6 773
4 89 548
6 74 917
84 58 591
64 59 662
26 95 982
4 95 506
41 84 823
84 23 658
14 37 873
76 36 861
12 49 286
14 9 411
94 20 769
92 36 916
85 27 350
100 94 428
84 39 38
16 39 896
90 49 886
42 12 927
41 18 711
28 51 911
23 44 476
58 22 220
70 37 568
65 73 527
18 63 958
50 12 973
22 60 855
58 28 494
59 19 97
93 54 322
26 92 264
93 42 345
14 69 924
54 91 564
21 41 266
47 28 720
95 15 952
7 21 949
16 29 123
68 71 547
37 97 179
37 89 903
15 81 586
13 6 142
6 30 940
33 73 860
82 94 625
27 97 859
80 50 480
2 32 388
44 2 522
79 77 678
29 6 344
82 33 760
95 45 473
64 18 467
66 35 171
51 39 259
63 11 258
43 20 203
73 98 508
83 19 424
98 76 562
89 58 464
78 3 948
20 75 888
33 59 291
81 93 825
54 63 722
40 44 856
99 10 985
9 46 35
33 24 158
65 25 989
60 9 735
94 88 525
11 95 24
94 8 676
28 24 228
90 84 712
68 74 909
17 81 892
17 67 258
39 9 138
30 28 780
15 75 868
4 50 307
16 62 46
70 35 473
22 16 607
87 35 916
69 43 500
51 2 432
27 55 986
63 82 392
8 87 159
55 76 651
87 16 596
31 68 563
6 79 935
97 15 385
51 33 187
34 2 243
83 84 137
69 49 428
12 84 631
7 13 953
73 15 180
27 79 836
32 10 601
64 6 167
92 74 393
79 53 806
15 8 733
40 84 994
69 4 485
5 35 43
57 99 86
70 2 390
81 24 877
48 60 172
48 83 606
39 40 487
12 72 85
98 50 628
50 84 931
80 96 98
51 53 159
18 67 340
92 22 449
86 59 785
38 69 928
27 35 350
62 9 48
53 59 762
86 4 516
7 30 805
73 21 155
42 85 156
90 24 989
88 81 681
23 35 929
37 34 404
77 10 94
68 52 441
15 17 245
65 71 237
39 38 897
6 42 719
12 67 67
43 57 359
51 12 713
41 1 227
60 85 968
57 37 531
35 30 97
26 100 673
4 45 949
82 57 113
57 80 690
57 77 67
100 99 938
1 35 696
99 5 687
99 64 868
95 1 157
66 43 106
100 37 569
48 9 301
78 36 503
1 87 365
35 47 88
1 15 512
13 24 783
56 77 903
49 10 474
44 93 296
1 51 493
16 86 160
51 96 209
62 49 58
16 75 159
40 19 430
92 19 42
95 85 316
45 60 117
97 24 647
23 71 193
77 2 954
20 64 594
81 54 19
14 98 994
63 87 290
50 16 820
70 54 344
63 77 525
61 7 323
86 71 433
82 90 873
8 32 747
4 33 104
13 29 159
53 69 624
44 69 974
35 49 674
48 46 854
53 40 166
53 45 708
7 44 114
21 14 739
28 29 844
65 96 660
11 27 142
68 63 316
55 20 776
1 85 652
23 22 436
41 55 587
55 26 228
93 36 973
24 61 226
29 19 575
38 86 422
25 66 797
60 77 364
64 19 842
54 75 114
84 92 566
81 38 606
75 76 478
87 11 618
4 53 281
85 57 816
73 36 889
49 29 195
40 100 168
1 72 59
69 87 663
57 94 259
58 76 855
91 10 460
69 79 227
13 98 641
15 98 560
20 86 163
61 33 761
11 91 618
95 97 886
27 24 893
16 96 35
91 87 13
2 87 136
51 16 132
77 34 689
10 83 179
49 3 976
35 92 553
8 14 106
36 3 921
57 70 615
17 59 422
75 57 452
64 100 912
79 4 362
12 4 324
100 87 252
30 59 676
50 13 697
17 35 433
90 77 336
93 43 436
61 29 549
19 12 862
56 40 832
66 88 747
100 7 583
89 23 888
83 67 726
76 65 549
68 27 397
32 66 194
67 82 484
51 20 410
42 16 100
61 73 586
72 99 10
32 51 637
53 8 920
91 43 626
5 11 170
27 92 997
4 35 933
71 51 161
96 91 915
55 46 600
15 6 337
61 83 866
14 60 797
30 92 439
8 17 144
5 47 387
8 20 140
14 94 969
29 9 363
55 30 197
85 49 367
41 5 860
9 10 257
81 40 150
35 96 262
23 10 611
4 27 284
4 80 719
19 78 936
44 88 927
99 67 531
5 36 462
41 39 813
68 18 554
96 64 159
70 18 308
59 6 118
82 66 396
90 9 83
51 41 840
83 21 979
42 92 356
75 18 835
3 10 574
53 98 383
39 49 262
79 60 256
48 31 328
82 46 163
80 33 916
31 8 454
5 98 443
51 88 280
19 88 500
44 18 417
48 6 986
78 68 636
34 98 184
37 92 356
58 55 60
23 60 889
22 6 66
41 16 203
19 97 172
20 30 571
27 48 986
79 54 439
18 60 119
98 84 94
52 80 964
5 42 898
54 30 93
51 31 513
59 35 615
58 44 174
84 30 26
94 33 615
49 28 627
100 63 12
43 31 593
55 19 11
59 71 908
49 47 517
35 3 917
3 56 193
21 2 990
100 42 253
66 46 803
60 50 195
38 78 29
50 29 825
41 85 240
26 85 159
72 44 226
67 6 57
87 20 550
40 8 806
88 36 506
26 33 952
93 39 692
85 81 593
48 73 457
67 70 64
72 95 559
89 59 389
53 46 301
30 88 270
46 42 833
64 50 823
41 29 859
65 88 5
10 93 499
27 47 789
39 87 538
82 13 401
60 55 734
76 100 972
28 62 184
1 66 657
76 15 526
76 31 102
83 39 368
8 70 77
56 80 632
100 56 965
93 89 815
60 36 90
24 53 672
80 46 510
72 7 196
38 57 220
32 73 133
9 31 672
99 52 110
21 45 966
67 40 118
97 78 881
5 31 515
31 80 416
65 44 506
24 82 921
18 69 396
50 99 227
27 60 594
83 37 32
76 34 303
95 96 93
35 78 467
65 80 683
17 87 941
52 97 682
33 55 222
27 8 476
60 73 704
75 72 699
73 13 33
6 57 894
87 85 253
7 24 821
14 51 910
69 64 325
43 89 838
62 33 8
42 25 354
49 76 430
51 24 250
51 26 950
68 76 530
98 54 422
84 91 653
68 33 672
14 16 837
54 7 750
66 96 59
67 61 922
7 37 893
89 21 361
43 38 758
33 91 428
8 34 563
46 78 512
78 44 70
8 92 214
66 77 35
79 73 146
15 21 481
35 94 720
9 53 308
50 45 665
91 80 743
85 44 434
97 22 56
48 63 814
28 37 609
88 60 847
65 69 284
98 26 638
69 37 988
39 54 787
66 42 406
40 30 954
78 15 668
71 74 184
48 23 558
60 72 621
91 92 124
71 20 691
20 40 777
62 26 956
12 24 963
15 32 744
8 69 491
43 44 72
51 76 158
1 71 700
74 76 756
1 48 157
87 37 855
7 18 439
65 58 792
62 11 838
5 27 430
52 3 353
94 47 480
99 69 579
78 6 236
99 82 875
7 74 365
55 74 375
57 1 564
30 37 814
82 37 117
88 40 74
16 53 734
46 19 720
95 61 779
38 27 581
52 79 645
80 45 325
74 78 300
19 99 732
65 74 486
60 11 547
74 73 224
8 50 331
58 19 606
28 70 987
34 3 335
79 58 914
75 74 540
25 95 227
42 96 648
8 33 402
37 93 821
21 77 974
19 74 366
58 37 125
12 76 205
29 90 209
87 51 31
72 91 882
97 1 606
85 36 280
23 91 814
24 62 278
90 96 353
3 44 980
85 56 444
17 42 24
66 90 55
41 79 52
98 45 740
68 95 505
65 82 885
98 97 604
13 63 511
65 5 369
25 55 195
76 23 308
24 18 990
75 9 624
30 19 281
69 82 117
10 81 237
27 36 272
82 20 932
49 86 986
55 36 780
64 71 981
30 62 980
27 53 797
54 96 157
46 54 637
27 80 481
24 31 969
93 45 131
15 24 445
64 61 921
74 27 196
33 5 247
77 41 270
7 98 81
79 3 719
61 76 227
1 9 45
51 74 412
7 15 870
32 54 787
96 87 680
58 26 896
48 35 510
68 10 820
49 59 778
22 50 422
31 34 813
98 96 214
50 83 683
50 32 713
51 81 425
16 73 543
80 73 556
51 46 953
34 92 758
92 88 300
53 38 711
96 57 8
98 68 771
63 17 667
40 74 420
20 9 622
68 8 86
75 1 389
56 59 547
1 62 634
50 88 740
13 95 29
25 85 618
35 98 643
49 58 630
75 82 327
12 99 833
36 79 13
71 46 97
45 64 906
94 95 278
35 85 416
43 18 2
94 54 86
3 82 35
82 61 471
91 3 502
3 48 346
57 29 689
20 67 565
9 34 414
18 95 421
21 95 630
97 21 972
34 65 260
49 9 411
13 74 976
64 22 505
68 77 589
28 34 122
68 55 828
23 87 794
80 51 992
3 38 860
77 18 725
54 22 552
42 24 209
2 65 498
75 5 860
81 55 61
6 4 256
32 9 551
97 7 971
29 89 306
90 50 58
64 40 510
23 17 127
96 30 504
7 35 402
21 19 279
84 17 898
41 57 386
45 25 573
13 75 523
49 30 655
26 46 107
62 90 233
78 5 294
36 15 52
34 20 433
33 58 344
45 82 668
61 5 775
78 31 380
90 10 934
69 57 237
20 31 87
15 66 405
31 65 506
77 30 563
14 67 701
83 18 54
52 91 163
43 40 824
43 19 814
63 50 90
79 14 791
10 13 820
7 29 385
60 93 122
13 49 794
83 33 567
51 97 874
97 67 344
48 69 511
85 99 494
68 21 825
39 3 706
90 12 261
8 84 616
61 39 886
32 76 591
37 44 305
2 13 457
11 41 952
75 100 10
48 5 824
47 43 151
74 57 922
94 69 134
83 68 595
77 91 151
64 78 586
86 53 868
90 78 93
99 4 664
93 16 153
90 21 695
81 100 369
5 28 62
77 76 237
80 41 827
9 50 458
7 81 470
47 50 842
25 48 27
66 74 574
79 24 980
63 60 603
74 29 898
99 34 819
78 7 422
43 98 75
30 98 495
26 63 203
56 23 690
66 8 798
99 88 898
53 12 684
92 31 696
88 85 830
56 64 757
47 41 230
50 51 745
80 58 543
61 49 210
77 20 891
32 89 841
5 86 913
27 19 676
93 48 951
60 13 224
55 4 71
98 89 511
35 95 594
65 12 530
33 76 257
52 28 496
4 44 715
82 31 252
86 12 576
72 21 816
53 6 517
86 79 985
85 64 976
1 78 52
61 44 876
46 11 548
65 100 675
93 96 332
43 36 145
95 98 889
46 52 754
81 9 762
25 63 128
14 80 945
17 53 51
42 3 822
75 40 188
39 27 873
70 9 938
99 7 544
43 32 536
37 48 211
86 21 769
50 24 147
37 67 316
57 33 791
95 70 806
85 24 962
73 82 870
77 28 671
47 26 62
58 85 486
74 42 621
15 100 487
60 3 945
43 1 4
31 81 33
53 26 66
100 62 2
92 9 695
90 20 908
79 9 863
68 96 478
67 62 76
33 38 551
14 77 292
16 97 97
85 90 445
3 9 990
77 16 580
28 15 351
49 34 679
26 60 471
21 48 186
78 88 416
42 61 986
20 85 166
1 70 286
99 41 241
87 29 197
34 90 550
79 55 931
40 41 617
68 49 172
81 30 261
47 10 451
99 66 420
26 16 250
30 46 769
45 39 202
34 15 947
21 3 432
49 75 379
19 66 415
93 41 571
67 4 447
24 38 564
61 38 50
11 22 805
24 21 664
2 95 302
42 75 188
77 29 567
30 13 550
15 23 937
47 84 373
93 22 372
7 67 214
79 85 891
51 52 222
52 48 680
79 22 109
73 59 225
9 100 329
73 11 469
44 80 6
72 94 339
7 91 355
66 39 540
100 2 288
5 19 16
43 33 655
33 35 927
98 52 221
1 55 472
89 36 579
96 86 702
100 35 175
74 67 585
95 80 404
14 35 358
39 90 542
68 11 642
24 36 559
70 88 937
16 54 866
88 69 335
61 8 286
91 49 439
50 34 730
9 95 623
2 7 896
7 14 420
83 26 512
100 36 124
13 47 974
90 65 67
95 67 892
64 72 979
37 32 13
52 50 21
12 85 731
28 41 62
5 39 63
23 74 370
10 70 412
8 2 162
17 54 217
64 63 265
29 72 938
18 52 949
21 18 613
62 53 82
93 25 337
61 66 269
39 63 926
25 82 956
38 68 628
70 31 383
80 36 57
68 5 161
40 70 104
40 42 897
58 74 495
16 47 994
90 75 385
42 55 678
38 44 918
15 52 682
100 16 234
33 54 210
85 39 398
54 10 50
28 92 965
59 45 522
53 58 76
75 47 1000
46 38 14
80 88 416
85 21 28
3 7 947
51 18 730
48 34 207
17 46 627
30 43 979
4 13 346
51 7 700
87 36 992
59 96 829
6 11 689
57 78 101
31 7 142
39 74 224
76 35 895
52 41 43
98 31 116
65 97 419
49 33 945
81 14 228
30 5 187
69 63 52
84 35 921
33 93 618
91 22 70
47 20 514
91 21 115
50 54 457
69 81 4
87 19 817
62 7 518
45 91 799
61 54 843
17 14 789
4 1 172
7 49 489
98 99 279
6 54 753
1 22 745
25 69 683
84 22 970
6 19 91
40 1 404
13 19 632
40 35 637
23 38 904
98 39 414
60 70 820
9 5 527
65 42 419
91 74 507
54 8 6
13 42 847
5 46 226
56 7 236
84 62 89
64 57 883
42 36 390
14 68 903
9 96 926
46 21 730
93 73 106
41 64 858
6 5 994
53 19 419
37 90 759
53 36 241
91 29 256
1 81 68
35 25 862
79 91 415
40 82 747
82 17 342
22 35 259
42 59 719
49 41 368
52 5 172
2 23 395
85 38 392
40 37 665
95 63 293
71 69 913
24 14 218
82 14 897
18 94 660
83 52 148
49 19 10
60 84 128
80 72 297
45 55 148
42 47 958
76 47 330
25 54 945
68 81 121
64 80 216
17 25 380
42 32 623
81 53 63
80 35 929
94 12 108
7 73 320
87 97 367
45 42 608
61 62 875
52 96 28
25 8 84
77 78 9
51 10 142
26 75 516
11 42 87
21 30 818
74 2 591
72 19 665
40 22 470
16 43 629
64 53 449
38 56 639
50 49 500
96 85 78
28 61 459
49 73 540
26 90 195
58 50 167
12 56 295
28 25 893
60 31 943
92 4 754
55 95 975
20 35 176
29 23 744
94 37 162
11 49 613
60 42 9
18 38 742
76 25 478
6 84 380
95 44 113
37 13 22
91 34 546
83 44 939
81 29 701
87 30 626
29 30 592
92 5 561
3 63 346
44 96 652
92 90 666
56 24 413
48 26 431
42 72 217
81 76 352
89 11 554
67 8 763
72 81 349
40 69 291
81 34 859
94 19 562
1 65 881
54 65 737
97 63 634
94 26 387
68 87 758
9 91 128
89 80 196
9 18 661
63 23 989
7 63 853
4 5 108
45 14 228
7 48 791
12 74 300
59 10 176
38 49 819
10 64 613
61 16 152
69 93 120
12 58 381
16 90 216
19 80 236
71 2 729
74 98 119
72 67 469
60 15 600
22 82 197
51 70 742
95 83 326
94 55 510
3 18 584
87 18 661
4 20 410
84 64 478
24 1 77
22 31 55
68 88 2
57 32 635
77 25 853
58 43 281
72 40 963
30 68 656
62 92 83
83 53 782
36 35 243
17 58 631
22 5 584
90 19 229
6 2 336
29 38 91
57 31 20
81 19 752
64 24 335
39 91 430
93 97 125
59 74 948
67 77 464
20 91 824
70 99 300
8 60 679
2 85 448
13 25 926
91 26 492
85 6 609
98 63 962
65 75 954
14 15 300
94 61 948
74 80 943
30 22 402
28 6 722
9 22 602
25 67 976
10 4 803
50 56 65
19 67 561
92 16 241
19 15 222
68 59 262
70 76 658
62 55 69
80 86 652
58 87 767
72 70 920
76 1 954
45 38 888
39 23 387
77 7 586
19 65 793
47 1 781
74 100 466
81 23 527
51 58 852
44 25 564
63 46 538
31 73 488
91 86 334
37 65 770
74 28 754
68 90 744
16 20 309
3 100 339
83 62 552
98 70 527
67 2 872
53 60 426
47 78 638
13 67 454
19 61 494
38 77 89
96 11 764
53 87 27
99 20 262
32 44 394
73 88 801
50 19 6
31 54 954
28 67 33
15 37 941
63 83 395
97 17 996
40 24 383
67 76 711
48 77 598
82 21 49
45 47 945
7 66 237
25 61 696
10 48 972
94 2 708
72 34 315
38 82 318
56 26 430
65 91 66
98 47 332
51 85 803
91 8 85
52 4 767
3 89 387
78 26 516
67 78 296
48 84 679
55 99 115
14 19 109
78 59 519
63 89 594
32 99 300
18 28 803
8 38 248
86 85 24
2 99 982
95 81 249
67 69 567
57 7 313
13 40 760
73 63 758
54 82 773
25 21 515
5 1 5
73 39 605
83 45 38
14 36 534
32 12 920
97 31 647
60 74 255
63 92 290
77 73 306
10 79 145
100 72 352
100 5 774
5 62 926
52 54 637
16 13 73
49 80 370
43 48 718
3 17 38
34 17 959
16 72 201
10 61 19
81 80 464
50 36 946
69 16 979
35 73 107
85 22 406
56 83 299
21 35 950
57 49 13
69 66 336
22 42 772
4 98 162
98 38 125
89 19 998
88 98 897
50 82 629
11 37 642
93 84 994
40 99 508
5 3 914
21 64 650
75 56 420
88 9 404
44 79 230
41 22 154
42 53 290
28 80 161
40 93 85
53 68 285
23 53 270
17 72 483
67 50 122
50 33 111
2 18 469
86 73 128
69 73 485
63 76 64
66 68 679
22 63 326
6 73 946
57 42 408
93 6 993
2 57 651
50 1 790
89 100 470
93 7 69
88 5 326
7 70 20
14 12 8
93 8 526
51 73 305
2 45 325
18 59 577
55 70 211
46 100 465
56 8 434
58 63 773
99 9 375
47 71 508
10 86 888
72 2 388
82 6 441
76 64 781
77 58 345
48 89 583
88 59 81
45 19 224
81 87 754
98 22 969
60 95 196
74 21 375
44 48 392
50 72 997
6 69 423
71 36 554
99 93 528
86 68 461
22 61 84
82 27 953
50 6 976
21 50 817
11 12 868
72 58 610
75 17 295
63 40 73
38 19 818
45 73 349
87 62 402
92 40 535
73 87 76
68 45 120
94 40 653
80 99 991
63 53 951
27 22 959
94 27 544
21 26 640
70 89 178
10 65 406
46 47 256
23 83 552
79 39 691
5 80 446
77 15 734
25 59 934
57 20 81
18 88 350
46 1 598
78 80 626
70 52 205
28 50 321
78 63 126
4 43 549
28 8 508
22 33 219
34 56 460
74 52 195
79 50 856
76 26 975
62 4 463
5 58 605
68 58 112
29 100 980
99 92 818
25 9 466
81 57 185
69 56 163
9 40 664
86 14 231
97 41 371
38 6 318
56 86 848
55 10 885
27 50 466
89 26 226
5 87 565
16 37 716
71
